"AOU_Code"	"Response_Guild"	"Int_Element"
"1"	"ACFL"	"CanopyNester"	"Structural"
"2"	"ACFL"	"InteriorForestObligate"	"Structural"
"3"	"ALFL"	"ShrubNester"	"Structural"
"4"	"ALFL"	"SingleBrooded"	"Compositional"
"5"	"AMCR"	"Resident"	"Compositional"
"6"	"AMCR"	"CanopyNester"	"Structural"
"7"	"AMCR"	"SingleBrooded"	"Compositional"
"8"	"AMCR"	"NestPredator_BroodParasite"	"Compositional"
"9"	"AMCR"	"Omnivore"	"Functional"
"10"	"AMGO"	"Resident"	"Compositional"
"11"	"AMGO"	"ShrubNester"	"Structural"
"12"	"AMGO"	"SingleBrooded"	"Compositional"
"13"	"AMGO"	"Omnivore"	"Functional"
"14"	"AMRE"	"LowerCanopyForager"	"Functional"
"15"	"AMRE"	"CanopyNester"	"Structural"
"16"	"AMRE"	"SingleBrooded"	"Compositional"
"17"	"AMRE"	"InteriorForestObligate"	"Structural"
"18"	"AMRO"	"Resident"	"Compositional"
"19"	"AMRO"	"CanopyNester"	"Structural"
"20"	"AMRO"	"Omnivore"	"Functional"
"21"	"BAOR"	"CanopyNester"	"Structural"
"22"	"BAOR"	"SingleBrooded"	"Compositional"
"23"	"BAOR"	"Omnivore"	"Functional"
"24"	"BAWW"	"BarkProber"	"Functional"
"25"	"BAWW"	"ForestGroundNester"	"Structural"
"26"	"BAWW"	"SingleBrooded"	"Compositional"
"27"	"BAWW"	"InteriorForestObligate"	"Structural"
"28"	"BBCU"	"LowerCanopyForager"	"Functional"
"29"	"BBCU"	"ShrubNester"	"Structural"
"30"	"BBCU"	"SingleBrooded"	"Compositional"
"31"	"BBCU"	"ForestGeneralist"	"Structural"
"32"	"BCCH"	"LowerCanopyForager"	"Functional"
"33"	"BCCH"	"Resident"	"Compositional"
"34"	"BCCH"	"SingleBrooded"	"Compositional"
"35"	"BCCH"	"ForestGeneralist"	"Structural"
"36"	"BGGN"	"UpperCanopyForager"	"Functional"
"37"	"BGGN"	"TemperateMigrant"	"Compositional"
"38"	"BGGN"	"CanopyNester"	"Structural"
"39"	"BGGN"	"SingleBrooded"	"Compositional"
"40"	"BGGN"	"ForestGeneralist"	"Structural"
"41"	"BHCO"	"TemperateMigrant"	"Compositional"
"42"	"BHCO"	"NestPredator_BroodParasite"	"Compositional"
"43"	"BHCO"	"Omnivore"	"Functional"
"44"	"BHVI"	"LowerCanopyForager"	"Functional"
"45"	"BHVI"	"TemperateMigrant"	"Compositional"
"46"	"BHVI"	"CanopyNester"	"Structural"
"47"	"BHVI"	"SingleBrooded"	"Compositional"
"48"	"BHVI"	"InteriorForestObligate"	"Structural"
"49"	"BLBW"	"UpperCanopyForager"	"Functional"
"50"	"BLBW"	"CanopyNester"	"Structural"
"51"	"BLBW"	"SingleBrooded"	"Compositional"
"52"	"BLBW"	"InteriorForestObligate"	"Structural"
"53"	"BLJA"	"Resident"	"Compositional"
"54"	"BLJA"	"CanopyNester"	"Structural"
"55"	"BLJA"	"NestPredator_BroodParasite"	"Compositional"
"56"	"BLJA"	"ForestGeneralist"	"Structural"
"57"	"BLJA"	"Omnivore"	"Functional"
"58"	"BOBO"	"OpenGroundNester"	"Structural"
"59"	"BOBO"	"SingleBrooded"	"Compositional"
"60"	"BOBO"	"Omnivore"	"Functional"
"61"	"BRCR"	"BarkProber"	"Functional"
"62"	"BRCR"	"Resident"	"Compositional"
"63"	"BRCR"	"SingleBrooded"	"Compositional"
"64"	"BRCR"	"InteriorForestObligate"	"Structural"
"65"	"BRTH"	"TemperateMigrant"	"Compositional"
