Order,Family,Subfamily,UMD_Code,TaxLevel,Genus,Species,Subspecies,IncludeSubspecies,Common Name,NABA Comments,Comments,Stex-Mex OW only
707,Hesperiidae,Pyrginae,ACH-SP,GENUS,Achalarus,sp.,,,Achalarus sp.,,,FALSE
704,Hesperiidae,Pyrginae,ACHALB,SPECIES,Achalarus,albociliatus,,,Skinner's Cloudywing,,,FALSE
703,Hesperiidae,Pyrginae,ACHCAS,SPECIES,Achalarus,casica,,,Desert Cloudywing,,Scott calls Desert Hoary Edge,FALSE
706,Hesperiidae,Pyrginae,ACHJAL,SPECIES,Achalarus,jalapus,,,Jalapus Cloudywing,*,,FALSE
746,Hesperiidae,Pyrginae,ACHLTHR,SPECIES,Achlyodes,thraso,,,Sickle-winged Skipper,*,,TRUE
702,Hesperiidae,Pyrginae,ACHLYC,SPECIES,Achalarus,lyciades,,,Hoary Edge,,,FALSE
705,Hesperiidae,Pyrginae,ACHTOX,SPECIES,Achalarus,toxeus,,,Coyote Cloudywing,,,TRUE
536,Nymphalidae,Limenitidinae,ADE-SP,GENUS,Adelpha,sp.,,,Sister sp.,,,FALSE
535,Nymphalidae,Limenitidinae,ADEBAS,SPECIES,Adelpha,basiloides,,,Spot-celled Sister,,,FALSE
534,Nymphalidae,Limenitidinae,ADEBRE,SPECIES,Adelpha,bredowii,,,California Sister,,,FALSE
533,Nymphalidae,Limenitidinae,ADEFES,SPECIES,Adelpha,fessonia,,,Band-celled Sister,,Scott uses Limenitis,FALSE
842,Hesperiidae,Hesperiinae,ADOPRI,SPECIES,Adopaeoides,prittwitzi,,,Sunrise Skipper,,,FALSE
979,Hesperiidae,Megathyminae,AGA-SP,GENUS,Agathymus,sp.,,,Agathymus sp.,,,FALSE
978,Hesperiidae,Megathyminae,AGAALL,SPECIES,Agathymus,alliae,,,Mojave Giant-Skipper,,,FALSE
970,Hesperiidae,Megathyminae,AGAARY,SPECIES,Agathymus,aryxna,,,Arizona Giant-Skipper,*,,FALSE
971,Hesperiidae,Megathyminae,AGAARY,SUBSPECIES,Agathymus,aryxna,baueri,,Arizona Giant-Skipper,,,FALSE
972,Hesperiidae,Megathyminae,AGAARY,SUBSPECIES,Agathymus,aryxna,gentryi,,Arizona Giant-Skipper,*,,FALSE
973,Hesperiidae,Megathyminae,AGAEVA,SPECIES,Agathymus,evansi,,,Huachuca Giant-Skipper,,,FALSE
974,Hesperiidae,Megathyminae,AGAMAR,SPECIES,Agathymus,mariae,,,Mary's Giant-Skipper,,,FALSE
969,Hesperiidae,Megathyminae,AGANEU,SPECIES,Agathymus,neumoegeni,,,Orange Giant-Skipper,,(includes chisosensis ),FALSE
977,Hesperiidae,Megathyminae,AGAPOL,SPECIES,Agathymus,polingi,,,Poling's Giant-Skipper,,,FALSE
976,Hesperiidae,Megathyminae,AGAREM,SPECIES,Agathymus,remingtoni,,,Coahuila Giant-Skipper,,,FALSE
975,Hesperiidae,Megathyminae,AGASTE,SPECIES,Agathymus,stephensi,,,California Giant-Skipper,,,FALSE
338,Lycaenidae,Polyommatinae,AGR-SP,GENUS,Agriades,sp.,,,Agriades sp.,,,FALSE
375,Nymphalidae,Heliconiinae,AGRAVAN,SPECIES,Agraulis,vanillae,,,Gulf Fritillary,,,TRUE
337,Lycaenidae,Polyommatinae,AGRCAS,SPECIES,Agriades,cassiope,,,Heather Blue,*,,FALSE
333,Lycaenidae,Polyommatinae,AGRGLA,SPECIES,Agriades,glandon,,,Arctic Blue,*,"Scott uses genus Plebejus, also recognizes ssp. rustica and aquilo",FALSE
334,Lycaenidae,Polyommatinae,AGRGLA,SUBSPECIES,Agriades,glandon,glandon,,Glandon' Arctic Blue,,,FALSE
335,Lycaenidae,Polyommatinae,AGRGLA,SUBSPECIES,Agriades,glandon,franklinii,,Mountain' Arctic Blue,,,FALSE
336,Lycaenidae,Polyommatinae,AGRGLA,SUBSPECIES,Agriades,glandon,podarce,,Sierra' Arctic Blue,,,FALSE
671,Hesperiidae,Pyrginae,AGU-SP,GENUS,Aguna,sp.,,,Aguna sp.,,,FALSE
668,Hesperiidae,Pyrginae,AGUASA,SPECIES,Aguna,asander,,,Gold-spotted Aguna,,,FALSE
669,Hesperiidae,Pyrginae,AGUCLA,SPECIES,Aguna,claxon,,,Emerald Aguna,,,FALSE
670,Hesperiidae,Pyrginae,AGUMET,SPECIES,Aguna,metophis,,,Tailed Aguna,,,FALSE
166,Lycaenidae,Theclinae,ALLSTR,SPECIES,Allosmaitia,strophius,,,Strophius Hairstreak,,,FALSE
951,Hesperiidae,Hesperiinae,AMB-SP,GENUS,Amblyscirtes,sp.,,,Roadside-Skipper sp.,,,FALSE
931,Hesperiidae,Hesperiinae,AMBAEN,SPECIES,Amblyscirtes,aenus,,,Bronze Roadside-Skipper,,,FALSE
939,Hesperiidae,Hesperiinae,AMBAES,SPECIES,Amblyscirtes,aesculapius,,,Lace-winged Roadside-Skipper,,,FALSE
948,Hesperiidae,Hesperiinae,AMBALT,SPECIES,Amblyscirtes,alternata,,,Dusky Roadside-Skipper,,,FALSE
947,Hesperiidae,Hesperiinae,AMBBEL,SPECIES,Amblyscirtes,belli,,,Bell's Roadside-Skipper,,,FALSE
940,Hesperiidae,Hesperiinae,AMBCAR,SPECIES,Amblyscirtes,carolina,,,Carolina Roadside-Skipper,,,FALSE
930,Hesperiidae,Hesperiinae,AMBCAS,SPECIES,Amblyscirtes,cassus,,,Cassus Roadside-Skipper,,,FALSE
946,Hesperiidae,Hesperiinae,AMBCEL,SPECIES,Amblyscirtes,celia,,,Celia's Roadside-Skipper,,,FALSE
935,Hesperiidae,Hesperiinae,AMBELI,SPECIES,Amblyscirtes,elissa,,,Elissa Roadside-Skipper,,,FALSE
944,Hesperiidae,Hesperiinae,AMBEOS,SPECIES,Amblyscirtes,eos,,,Dotted Roadside-Skipper,,,FALSE
929,Hesperiidae,Hesperiinae,AMBEXO,SPECIES,Amblyscirtes,exoteria,,,Large Roadside-Skipper,,,FALSE
950,Hesperiidae,Hesperiinae,AMBFIM,SPECIES,Amblyscirtes,fimbriata,,,Orange-edged Roadside-Skipper,,,FALSE
934,Hesperiidae,Hesperiinae,AMBHEG,SPECIES,Amblyscirtes,hegon,,,Pepper and Salt Skipper,,,FALSE
932,Hesperiidae,Hesperiinae,AMBLIN,SPECIES,Amblyscirtes,linda,,,Linda's Roadside-Skipper,,,FALSE
942,Hesperiidae,Hesperiinae,AMBNER,SPECIES,Amblyscirtes,nereus,,,Slaty Roadside-Skipper,,,FALSE
943,Hesperiidae,Hesperiinae,AMBNYS,SPECIES,Amblyscirtes,nysa,,,Nysa Roadside-Skipper,,,FALSE
933,Hesperiidae,Hesperiinae,AMBOSL,SPECIES,Amblyscirtes,oslari,,,Oslar's Roadside-Skipper,,,FALSE
949,Hesperiidae,Hesperiinae,AMBPHY,SPECIES,Amblyscirtes,phylace,,,Orange-headed Roadside-Skipper,,,FALSE
941,Hesperiidae,Hesperiinae,AMBREV,SPECIES,Amblyscirtes,reversa,,,Reversed Roadside-Skipper,,,FALSE
928,Hesperiidae,Hesperiinae,AMBSIM,SPECIES,Amblyscirtes,simius,,,Simius Roadside-Skipper,,,FALSE
936,Hesperiidae,Hesperiinae,AMBTEX,SPECIES,Amblyscirtes,texanae,,,Texas Roadside-Skipper,,,FALSE
937,Hesperiidae,Hesperiinae,AMBTOL,SPECIES,Amblyscirtes,tolteca,,,Toltec Roadside-Skipper,*,,FALSE
938,Hesperiidae,Hesperiinae,AMBTOL,SUBSPECIES,Amblyscirtes,tolteca,prenda,,Prenda' Toltec Roadside-Skipper,,,FALSE
945,Hesperiidae,Hesperiinae,AMBVIA,SPECIES,Amblyscirtes,vialis,,,Common Roadside-Skipper,,,FALSE
570,Nymphalidae,Charaxinae,ANA-SP,GENUS,Anaea,sp.,,,Leafwing sp.,,,FALSE
565,Nymphalidae,Charaxinae,ANAAID,SPECIES,Anaea,aidea,,,Tropical Leafwing,,,FALSE
567,Nymphalidae,Charaxinae,ANAAND,SPECIES,Anaea,andria,,,Goatweed Leafwing,,,FALSE
566,Nymphalidae,Charaxinae,ANAFLO,SPECIES,Anaea,floridalis,,,Florida Leafwing,*,,FALSE
568,Nymphalidae,Charaxinae,ANAGLY,SPECIES,Anaea,glycerium,,,Angled Leafwing,,,FALSE
569,Nymphalidae,Charaxinae,ANAPIT,SPECIES,Anaea,pithyusa,,,Pale-spotted Leafwing,,,FALSE
516,Nymphalidae,Nymphalinae,ANAR-SP,GENUS,Anartia,sp.,,,Peacock sp.,,,FALSE
514,Nymphalidae,Nymphalinae,ANARCHR,SPECIES,Anartia,chrysopelea,,,Cuban Peacock,*,,FALSE
515,Nymphalidae,Nymphalinae,ANARFAT,SPECIES,Anartia,fatima,,,Banded Peacock,,,FALSE
513,Nymphalidae,Nymphalinae,ANARJAT,SPECIES,Anartia,jatrophae,,,White Peacock,,,TRUE
888,Hesperiidae,Hesperiinae,ANAT-SP,GENUS,Anatrytone,sp.,,,Anatrytone sp.,,,FALSE
886,Hesperiidae,Hesperiinae,ANATLOG,SPECIES,Anatrytone,logan,,,Delaware Skipper,,Scott uses Atrytone,FALSE
887,Hesperiidae,Hesperiinae,ANATMAZ,SPECIES,Anatrytone,mazai,,,Glowing Skipper,*,Scott has mazai as ssp. of logan - therefore dubious IDs,FALSE
834,Hesperiidae,Hesperiinae,ANC-SP,GENUS,Ancyloxypha,sp.,,,Least Skipper sp.,,,FALSE
