"counts","sp","ia.ind","il.ind","mi.ind","oh.ind","year.cov","week.cov","site.cov","county.cov","survey.cov","data.set"
0,"Least Skipper",1,0,0,0,1,1,112,66,0,"Iowa"
0,"Least Skipper",1,0,0,0,1,1,115,51,0,"Iowa"
0,"Least Skipper",0,1,0,0,1,1,166,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,168,19,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,180,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,185,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,188,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,189,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,200,19,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,204,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,211,25,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,227,14,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,260,9,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,264,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,270,19,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,274,24,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,277,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,303,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,322,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,332,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,337,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,351,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,414,38,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,418,38,0,"Illinois"
0,"Least Skipper",0,1,0,0,1,1,423,38,0,"Illinois"
0,"Least Skipper",1,0,0,0,2,1,112,66,0,"Iowa"
0,"Least Skipper",1,0,0,0,2,1,115,51,0,"Iowa"
0,"Least Skipper",1,0,0,0,2,1,126,49,0,"Iowa"
0,"Least Skipper",0,1,0,0,2,1,170,14,0.693147180559945,"Illinois"
1,"Least Skipper",0,1,0,0,2,1,171,14,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,177,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,184,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,189,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,197,21,0,"Illinois"
2,"Least Skipper",0,1,0,0,2,1,203,15,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,211,25,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,220,25,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,227,14,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,264,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,274,24,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,277,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,283,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,332,7,0.693147180559945,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,414,38,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,418,38,0,"Illinois"
0,"Least Skipper",0,1,0,0,2,1,423,38,0,"Illinois"
0,"Least Skipper",1,0,0,0,3,1,113,66,0,"Iowa"
0,"Least Skipper",1,0,0,0,3,1,126,49,0.693147180559945,"Iowa"
0,"Least Skipper",0,1,0,0,3,1,166,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,167,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,168,19,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,171,14,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,177,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,182,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,184,7,0,"Illinois"
1,"Least Skipper",0,1,0,0,3,1,188,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,189,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,191,12,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,197,21,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,201,14,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,209,10,0,"Illinois"
3,"Least Skipper",0,1,0,0,3,1,211,25,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,217,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,233,25,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,239,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,241,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,243,10,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,247,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,248,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,252,14,0,"Illinois"
1,"Least Skipper",0,1,0,0,3,1,255,25,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,259,7,0,"Illinois"
0,"Least Skipper",0,1,0,0,3,1,262,19,0,"Illinois"
